Directors,Stars
Orlando von Einsiedel,"André Bauma, Emmanuel de Merode, Mélanie Gouby"
Mani Ratnam,"Arvind Swamy, Madhoo, Pankaj Kapur"
Nagesh Kukunoor,"Shreyas Talpade, Naseeruddin Shah, Shweta Basu Prasad"
Mani Ratnam,"Arvind Swamy, Manisha Koirala, Nassar"
Peter Joseph,"Peter Joseph, Robert Sapolsky, Gabor Maté"
Rajkumar Santoshi,"Ajay Devgn, Sushant Singh, D. Santosh"
"Aleksandras Brokas, Mindaugas Urbonavicius",Jeremy Irons
Denis Villeneuve,"Timothée Chalamet, Rebecca Ferguson, Zendaya"
Venky Atluri,"Dulquer Salmaan, Meenaakshi Chaudhary, Tinnu Anand"
Denis Villeneuve,"Harrison Ford, Ryan Gosling, Ana de Armas"
David Lynch,"Richard Farnsworth, Sissy Spacek, Jane Galloway Heitz"
Alejandro G. Iñárritu,"Leonardo DiCaprio, Tom Hardy, Will Poulter"
Rob Reiner,"Cary Elwes, Mandy Patinkin, Robin Wright"
James Gunn,"Chris Pratt, Vin Diesel, Bradley Cooper"
Spike Jonze,"Joaquin Phoenix, Amy Adams, Scarlett Johansson"
Damien Chazelle,"Ryan Gosling, Emma Stone, Rosemarie DeWitt"
Richard Kelly,"Jake Gyllenhaal, Jena Malone, Mary McDonnell"
Ridley Scott,"Matt Damon, Jessica Chastain, Kristen Wiig"
Brad Bird,"Craig T. Nelson, Samuel L. Jackson, Holly Hunter"
Joss Whedon,"Robert Downey Jr., Chris Evans, Scarlett Johansson"
Tim Miller,"Ryan Reynolds, Morena Baccarin, T.J. Miller"
"Frank Miller, Quentin Tarantino, Robert Rodriguez","Mickey Rourke, Clive Owen, Bruce Willis"
Darren Aronofsky,"Natalie Portman, Mila Kunis, Vincent Cassel"
Pat Boonnitipat,"Putthipong Assaratanakul, Usha Seamkhum, Sanya Kunakorn"
Billy Bob Thornton,"Billy Bob Thornton, Dwight Yoakam, J.T. Walsh"
"Byron Howard, Rich Moore, Jared Bush","Ginnifer Goodwin, Jason Bateman, Idris Elba"
Morten Tyldum,"Benedict Cumberbatch, Keira Knightley, Matthew Goode"
Martin Campbell,"Daniel Craig, Eva Green, Judi Dench"
Martin Brest,"Al Pacino, Chris O'Donnell, James Rebhorn"
Garth Davis,"Dev Patel, Nicole Kidman, Rooney Mara"
Sian Heder,"Emilia Jones, Marlee Matlin, Troy Kotsur"
Terry Gilliam,"Bruce Willis, Madeleine Stowe, Brad Pitt"
Paul Thomas Anderson,"Tom Cruise, Jason Robards, Julianne Moore"
Barry Levinson,"Dustin Hoffman, Tom Cruise, Valeria Golino"
Kevin Costner,"Kevin Costner, Mary McDonnell, Graham Greene"
Roman Polanski,"Mia Farrow, John Cassavetes, Ruth Gordon"
Satoshi Kon,"Junko Iwao, Rica Matsumoto, Shinpachi Tsuji"
Mel Brooks,"Gene Wilder, Madeline Kahn, Marty Feldman"
Harold Ramis,"Bill Murray, Andie MacDowell, Chris Elliott"
"Danny Boyle, Loveleen Tandan","Dev Patel, Freida Pinto, Saurabh Shukla"
"Ron Clements, John Musker","Scott Weinger, Robin Williams, Linda Larkin"
Gabriele Muccino,"Will Smith, Thandiwe Newton, Jaden Smith"
"Gary Trousdale, Kirk Wise","Paige O'Hara, Robby Benson, Jesse Corti"
Lars von Trier,"Nicole Kidman, Paul Bettany, Lauren Bacall"
Edward Zwick,"Leonardo DiCaprio, Djimon Hounsou, Jennifer Connelly"
"Pete Docter, Kemp Powers","Jamie Foxx, Tina Fey, Graham Norton"
Tim Burton,"Ewan McGregor, Albert Finney, Billy Crudup"
Quentin Tarantino,"Uma Thurman, David Carradine, Michael Madsen"
Mike Nichols,"Dustin Hoffman, Anne Bancroft, Katharine Ross"
Oriol Paulo,"Mario Casas, Ana Wagener, Jose Coronado"
Hwang Dong-hyuk,"Gong Yoo, Jung Yu-mi, Kim Hyeon-soo"
Andrei Tarkovsky,"Alisa Freyndlikh, Aleksandr Kaydanovskiy, Anatoliy Solonitsyn"
Tom Hooper,"Colin Firth, Geoffrey Rush, Helena Bonham Carter"
Mike Leigh,"Timothy Spall, Brenda Blethyn, Phyllis Logan"
Katsuhiro Ôtomo,"Mitsuo Iwata, Nozomu Sasaki, Mami Koyama"
Sidney Lumet,"Al Pacino, John Cazale, Penelope Allen"
George Roy Hill,"Paul Newman, Robert Redford, Katharine Ross"
Oliver Stone,"Kevin Costner, Gary Oldman, Jack Lemmon"
Wong Kar-Wai,"Brigitte Lin, Takeshi Kaneshiro, Tony Leung Chiu-wai"
Paul Greengrass,"Matt Damon, Edgar Ramírez, Joan Allen"
Franklin J. Schaffner,"Charlton Heston, Roddy McDowall, Kim Hunter"
Ingmar Bergman,"Bibi Andersson, Liv Ullmann, Margaretha Krook"
Alejandro G. Iñárritu,"Emilio Echevarría, Gael García Bernal, Goya Toledo"
Federico Fellini,"Marcello Mastroianni, Anouk Aimée, Claudia Cardinale"
"Tomm Moore, Ross Stewart","Honor Kneafsey, Eva Whittaker, Sean Bean"
Ron Howard,"Russell Crowe, Renée Zellweger, Craig Bierko"
Howard Hawks,"John Wayne, Dean Martin, Ricky Nelson"
Terry Jones,"Graham Chapman, John Cleese, Michael Palin"
Stuart Rosenberg,"Paul Newman, George Kennedy, Strother Martin"
Peter Bogdanovich,"Timothy Bottoms, Jeff Bridges, Cybill Shepherd"
Norman Jewison,"Topol, Norma Crane, Leonard Frey"
Franklin J. Schaffner,"Steve McQueen, Dustin Hoffman, Victor Jory"
Federico Fellini,"Marcello Mastroianni, Anita Ekberg, Anouk Aimée"
Hayao Miyazaki,"Sumi Shimamoto, Mahito Tsujimura, Hisako Kyôda"
John Cassavetes,"Gena Rowlands, Peter Falk, Fred Draper"
Wilson Yip,"Donnie Yen, Simon Yam, Louis Fan"
William Wyler,"Gregory Peck, Audrey Hepburn, Eddie Albert"
Richard Attenborough,"Ben Kingsley, John Gielgud, Rohini Hattangadi"
Hayao Miyazaki,"Mayumi Tanaka, Keiko Yokozawa, Kotoe Hatsui"
Otto Preminger,"James Stewart, Lee Remick, Ben Gazzara"
Thomas Vinterberg,"Ulrich Thomsen, Henning Moritzen, Thomas Bo Larsen"
Walter Salles,"Fernanda Montenegro, Vinícius de Oliveira, Marília Pêra"
Robert Aldrich,"Bette Davis, Joan Crawford, Victor Buono"
Alan Parker,"Bob Geldof, Christine Hargreaves, James Laurenson"
Charles Laughton,"Robert Mitchum, Shelley Winters, Lillian Gish"
Werner Herzog,"Klaus Kinski, Claudia Cardinale, José Lewgoy"
Robert Wiene,"Werner Krauss, Conrad Veidt, Friedrich Feher"
Kim Ki-duk,"Kim Ki-duk, Oh Yeong-su, Jong-ho Kim"
Mike Nichols,"Elizabeth Taylor, Richard Burton, George Segal"
Xavier Dolan,"Anne Dorval, Antoine Olivier Pilon, Suzanne Clément"
"Wai Keung Lau, Alan Mak","Andy Lau, Tony Leung Chiu-wai, Anthony Chau-Sang Wong"
Jean-Pierre Melville,"Alain Delon, François Périer, Nathalie Delon"
Giuseppe Tornatore,"Tim Roth, Pruitt Taylor Vince, Mélanie Thierry"
Hirokazu Koreeda,"Yûya Yagira, Ayu Kitaura, Hiei Kimura"
José Padilha,"Wagner Moura, André Ramiro, Caio Junqueira"
Tomm Moore,"David Rawle, Brendan Gleeson, Lisa Hannigan"
Emir Kusturica,"Predrag 'Miki' Manojlovic, Lazar Ristovski, Mirjana Jokovic"
Akira Kurosawa,"Toshirô Mifune, Minoru Chiaki, Isuzu Yamada"
Isao Takahata,"Chloë Grace Moretz, James Caan, Mary Steenburgen"
S.S. Rajamouli,"Prabhas, Rana Daggubati, Anushka Shetty"
Andrei Tarkovsky,"Anatoliy Solonitsyn, Ivan Lapikov, Nikolay Grinko"
Jacques Tourneur,"Robert Mitchum, Jane Greer, Kirk Douglas"
François Truffaut,"Jean-Pierre Léaud, Albert Rémy, Claire Maurier"
Claude Berri,"Yves Montand, Emmanuelle Béart, Daniel Auteuil"
David Lean,"Celia Johnson, Trevor Howard, Stanley Holloway"
Alexander Mackendrick,"Burt Lancaster, Tony Curtis, Susan Harrison"
Julian Schnabel,"Mathieu Amalric, Emmanuelle Seigner, Marie-Josée Croze"
Sion Sono,"Takahiro Nishijima, Hikari Mitsushima, Sakura Andô"
Nuri Bilge Ceylan,"Haluk Bilginer, Melisa Sözen, Demet Akbag"
Ernst Lubitsch,"Margaret Sullavan, James Stewart, Frank Morgan"
"Vincent Paronnaud, Marjane Satrapi","Chiara Mastroianni, Catherine Deneuve, Gena Rowlands"
"Michael Powell, Emeric Pressburger","David Niven, Kim Hunter, Robert Coote"
Alejandro Amenábar,"Javier Bardem, Belén Rueda, Lola Dueñas"
Emir Kusturica,"Bajram Severdzan, Srdjan 'Zika' Todorovic, Branka Katic"
Jasmila Zbanic,"Jasna Djuricic, Izudin Bajrovic, Boris Ler"
Luis Buñuel,"Silvia Pinal, Jacqueline Andere, Enrique Rambal"
Yôjirô Takita,"Masahiro Motoki, Ryôko Hirosue, Tsutomu Yamazaki"
Vishal Bhardwaj,"Shahid Kapoor, Tabu, Shraddha Kapoor"
Sam Wrench,"Taylor Swift, Mike Meadows, Max Bernstein"
Kevin Macdonald,"Simon Yates, Joe Simpson, Brendan Mackey"
"Andrei Tarkovsky, Eduard Abalov","Nikolay Burlyaev, Valentin Zubkov, Evgeniy Zharikov"
Louis Malle,"Gaspard Manesse, Raphael Fejtö, Francine Racette"
Akira Kurosawa,"Toshirô Mifune, Misa Uehara, Minoru Chiaki"
Aditya Chopra,"Shah Rukh Khan, Kajol, Amrish Puri"
Sidney Lumet,"Henry Fonda, Walter Matthau, Fritz Weaver"
"Mahiro Maeda, Katsuichi Nakayama, Kazuya Tsurumaki","Megumi Ogata, Megumi Hayashibara, Yûko Miyamura"
Juraj Herz,"Rudolf Hrusínský, Vlasta Chramostová, Jana Stehnová"
Akira Kurosawa,"Toshirô Mifune, Tatsuya Nakadai, Keiju Kobayashi"
Frank Pavich,"Alejandro Jodorowsky, Michel Seydoux, H.R. Giger"
Roberto Rossellini,"Anna Magnani, Aldo Fabrizi, Marcello Pagliero"
Federico Fellini,"Anthony Quinn, Giulietta Masina, Richard Basehart"
Luis Buñuel,"Silvia Pinal, Francisco Rabal, Fernando Rey"
Nuri Bilge Ceylan,"Dogu Demirkol, Murat Cemcir, Bennu Yildirimlar"
José Padilha,"Wagner Moura, Irandhir Santos, André Ramiro"
Farhan Akhtar,"Aamir Khan, Saif Ali Khan, Akshaye Khanna"
Apoorv Singh Karki,"Manoj Bajpayee, Adrija Sinha, Surya Mohan Kulshreshtha"
Charles Chaplin,"Charles Chaplin, Claire Bloom, Nigel Bruce"
Kang Je-kyu,"Jang Dong-gun, Won Bin, Lee Eun-ju"
Michael Moore,"Michael Moore, Charlton Heston, Marilyn Manson"
Ingmar Bergman,"Max von Sydow, Birgitta Valberg, Gunnel Lindblom"
Aniruddha Roy Chowdhury,"Amitabh Bachchan, Taapsee Pannu, Kirti Kulhari"
"Béla Tarr, Ágnes Hranitzky","Lars Rudolph, Peter Fitz, Hanna Schygulla"
"Tamara Kotevska, Ljubomir Stefanov","Hatidze Muratova, Nazife Muratova, Hussein Sam"
Terry Zwigoff,"Robert Crumb, Aline Kominsky-Crumb, Charles Crumb"
François Truffaut,"Jacqueline Bisset, Jean-Pierre Léaud, François Truffaut"
Ari Folman,"Ari Folman, Ron Ben-Yishai, Ronny Dayag"
Laura Poitras,"Edward Snowden, Glenn Greenwald, William Binney"
Rainer Werner Fassbinder,"Brigitte Mira, El Hedi ben Salem, Barbara Valentin"
Robert Hamer,"Dennis Price, Alec Guinness, Valerie Hobson"
Elio Petri,"Gian Maria Volontè, Florinda Bolkan, Gianni Santuccio"
Mahesh Narayanan,"Fahadh Faasil, Nimisha Sajayan, Vinay Forrt"
Ingmar Bergman,"Ingrid Thulin, Gunnar Björnstrand, Gunnel Lindblom"
"Michael Powell, Emeric Pressburger","Roger Livesey, Deborah Kerr, Anton Walbrook"
Vishal Bhardwaj,"Ajay Devgn, Kareena Kapoor, Saif Ali Khan"
Vignesh Raja,"R. Sarathkumar, Lisha Chinnu, Ashok Selvan"
Daniel Petrie,"Sidney Poitier, Claudia McNeil, Ruby Dee"
Bahman Ghobadi,"Soran Ebrahim, Avaz Latif, Hiresh Feysal Rahman"
Krzysztof Kieslowski,"Miroslaw Baka, Krzysztof Globisz, Jan Tesarz"
Akira Kurosawa,"Toshirô Mifune, Masayuki Mori, Kyôko Kagawa"
Michael Moore,"Michael Moore, Tucker Albrizzi, Edward R. Annis"
Sachy,"Biju Menon, Prithviraj Sukumaran, Ranjith"
Seth Gordon,"Steve Wiebe, Billy Mitchell, Mark Alpiger"
Darin J. Sallam,"Karam Taher, Ashraf Barhom, Ali Suliman"
Alex Gibney,"Paul Haggis, Jason Beghe, Spanky Taylor"
Yuriy Bykov,"Artyom Bystrov, Natalya Surkova, Yuriy Tsurilo"
William A. Wellman,"Henry Fonda, Dana Andrews, Mary Beth Hughes"
Ingmar Bergman,"Liv Ullmann, Max von Sydow, Sigge Fürst"
Pradeep Ranganathan,"Pradeep Ranganathan, Ivana, Yogi Babu"
Lee Hae-jun,"Jeong Jae-yeong, Jung Ryeo-won, Young-Seo Park"
Ram Gopal Varma,"Ajay Devgn, Mohanlal, Manisha Koirala"
Victor Sjöström,"Victor Sjöström, Hilda Borgström, Tore Svennberg"
F.W. Murnau,"Emil Jannings, Maly Delschaft, Max Hiller"
Questlove,"Dorinda Drake, Barbara Bland-Acosta, Darryl Lewis"
Vishal Bhardwaj,"Irrfan Khan, Tabu, Pankaj Kapur"
Karthik Subbaraj,"Raghava Lawrence, S.J. Suryah, Nimisha Sajayan"
Marwan Hamed,"Karim Abdel Aziz, Khaled El-Sawi, Nilli Karim"
Sukumar,"Mahesh Babu, Kriti Sanon, Nassar"
Erich von Stroheim,"Gibson Gowland, Zasu Pitts, Jean Hersholt"
Ömer Faruk Sorak,"Cem Yilmaz, Özge Özberk, Ozan Güven"
Yasujirô Ozu,"Chishû Ryû, Shima Iwashita, Keiji Sada"
Levent Semerci,"Mete Horozoglu, Ilker Kizmaz, Birce Akalay"
Cassie Jaye,"Cassie Jaye, Paul Elam, Attila Vinczer"
"Mathur Goswami, Neeraj Pandey","Sushant Singh Rajput, Kiara Advani, Disha Patani"
"Yilmaz Erdogan, Ömer Faruk Sorak","Yilmaz Erdogan, Demet Akbag, Altan Erkekli"
"Mark Achbar, Jennifer Abbott","Mikela Jay, Rob Beckwermert, Christopher Gora"
Anurag Kashyap,"Kay Kay Menon, Raj Singh Chaudhary, Raja Chaudhary"
Rajkumar Santoshi,"Aamir Khan, Salman Khan, Raveena Tandon"
Neeraj Pandey,"Akshay Kumar, Anupam Kher, Manoj Bajpayee"
Srdjan Dragojevic,"Dusan Pekic, Milan Maric, Dragan Bjelogrlic"
Rajkumar Hirani,"Sanjay Dutt, Arshad Warsi, Vidya Balan"
René Clément,"Georges Poujouly, Brigitte Fossey, Amédée"
"Edward Sedgwick, Buster Keaton","Buster Keaton, Marceline Day, Harold Goodwin"
Bing Liu,"Kent Abernathy, Mengyue Bolen, Nina Bowgren"
Brian Knappenberger,"Aaron Swartz, Tim Berners-Lee, Cindy Cohn"
Ketan Mehta,"Nawazuddin Siddiqui, Radhika Apte, Ashutosh Acharya"
Marwan Hamed,"Karim Abdel Aziz, Nilli Karim, Hind Sabri"
Kamal Haasan,"Kamal Haasan, Shah Rukh Khan, Rani Mukerji"
"Joe Berlinger, Bruce Sinofsky","Gary Gitchell, Todd Moore, Dana Moore"
Çagan Irmak,"Çetin Tekindor, Yigit Özsener, Gökçe Bahadir"
Yash Chopra,"Amitabh Bachchan, Shashi Kapoor, Nirupa Roy"
Vladimir Menshov,"Vera Alentova, Aleksey Batalov, Irina Muravyova"
Puri Jagannadh,"Mahesh Babu, Ileana D'Cruz, Prakash Raj"
"Peter D. Hutchison, Kelly Nyks, Jared P. Scott","Spiro Agnew, William F. Buckley, Noam Chomsky"
Mari Selvaraj,"Dhanush, Lal, Rajisha Vijayan"
Mahesh Manjrekar,"Sanjay Dutt, Namrata Shirodkar, Reema Lagoo"
Eugene Jarecki,"Gore Vidal, John McCain, Ken Adelman"
"Sam Dunn, Scot McFadyen, Jessica Joy Wise","Tom Araya, Gavin Baddeley, Blasphemer"
Jan Harlan,"Katharina Kubrick, Malcolm McDowell, Stanley Kubrick"
Gunasekhar,"Mahesh Babu, Bhoomika Chawla, Prakash Raj"
Sinan Çetin,"Ilyas Salman, Sener Sen, Aysen Gruda"
David Lynch,"Naomi Watts, Laura Harring, Justin Theroux"
Gints Zilbalodis,
James Cameron,"Leonardo DiCaprio, Kate Winslet, Billy Zane"
Rian Johnson,"Daniel Craig, Chris Evans, Ana de Armas"
Wim Wenders,"Kôji Yakusho, Tokio Emoto, Arisa Nakano"
Alexander Payne,"Paul Giamatti, Da'Vine Joy Randolph, Dominic Sessa"
John Landis,"John Belushi, Dan Aykroyd, Cab Calloway"
James Gunn,"Chris Pratt, Chukwudi Iwuji, Bradley Cooper"
Jean-Marc Vallée,"Matthew McConaughey, Jennifer Garner, Jared Leto"
Alfonso Cuarón,"Daniel Radcliffe, Emma Watson, Rupert Grint"
Denis Villeneuve,"Amy Adams, Jeremy Renner, Forest Whitaker"
Tony Scott,"Christian Slater, Patricia Arquette, Dennis Hopper"
Cameron Crowe,"Billy Crudup, Patrick Fugit, Kate Hudson"
Jon Favreau,"Robert Downey Jr., Gwyneth Paltrow, Terrence Howard"
James Cameron,"Sam Worthington, Zoe Saldana, Sigourney Weaver"
Bryan Singer,"Rami Malek, Lucy Boynton, Gwilym Lee"
Paul Thomas Anderson,"Mark Wahlberg, Julianne Moore, Burt Reynolds"
Doug Liman,"Tom Cruise, Emily Blunt, Bill Paxton"
Taika Waititi,"Chris Hemsworth, Tom Hiddleston, Cate Blanchett"
J.J. Abrams,"Chris Pine, Zachary Quinto, Simon Pegg"
Stephen Chbosky,"Logan Lerman, Emma Watson, Ezra Miller"
Zack Snyder,"Henry Cavill, Ben Affleck, Gal Gadot"
"Andrew Adamson, Vicky Jenson","Mike Myers, Eddie Murphy, Cameron Diaz"
Alfonso Cuarón,"Julianne Moore, Clive Owen, Chiwetel Ejiofor"
Taika Waititi,"Roman Griffin Davis, Thomasin McKenzie, Scarlett Johansson"
Clint Eastwood,"Sean Penn, Tim Robbins, Kevin Bacon"
Martin McDonagh,"Colin Farrell, Brendan Gleeson, Ciarán Hinds"
Steven Spielberg,"Henry Thomas, Drew Barrymore, Peter Coyote"
Edgar Wright,"Simon Pegg, Nick Frost, Kate Ashfield"
Richard Linklater,"Ellar Coltrane, Patricia Arquette, Ethan Hawke"
Cecil B. DeMille,"Charlton Heston, Yul Brynner, Anne Baxter"
Bryan Singer,"Patrick Stewart, Ian McKellen, Hugh Jackman"
Stephen Chbosky,"Jacob Tremblay, Owen Wilson, Izabela Vidovic"
Ang Lee,"Suraj Sharma, Irrfan Khan, Adil Hussain"
Wes Anderson,"George Clooney, Meryl Streep, Bill Murray"
Neill Blomkamp,"Sharlto Copley, David James, Jason Cope"
Rob Reiner,"Rob Reiner, Michael McKean, Christopher Guest"
Ang Lee,"Chow Yun-Fat, Michelle Yeoh, Ziyi Zhang"
Noah Baumbach,"Adam Driver, Scarlett Johansson, Julia Greer"
Tim Burton,"Johnny Depp, Winona Ryder, Dianne Wiest"
"John Lasseter, Ash Brannon, Lee Unkrich","Tom Hanks, Tim Allen, Joan Cusack"
Mamoru Oshii,"Atsuko Tanaka, Iemasa Kayumi, Akio Ôtsuka"
Elia Kazan,"Vivien Leigh, Marlon Brando, Kim Hunter"
Spike Lee,"Danny Aiello, Ossie Davis, Ruby Dee"
David Lean,"Omar Sharif, Julie Christie, Geraldine Chaplin"
Henry Selick,"Danny Elfman, Chris Sarandon, Catherine O'Hara"
Brian De Palma,"Al Pacino, Sean Penn, Penelope Ann Miller"
"Stanley Kubrick, Anthony Mann","Kirk Douglas, Laurence Olivier, Jean Simmons"
Wim Wenders,"Bruno Ganz, Solveig Dommartin, Otto Sander"
Bob Clark,"Peter Billingsley, Melinda Dillon, Darren McGavin"
Sergio Leone,"Clint Eastwood, Gian Maria Volontè, Marianne Koch"
Ericson Core,"Willem Dafoe, Julianne Nicholson, Christopher Heyerdahl"
Andrei Tarkovsky,"Natalya Bondarchuk, Donatas Banionis, Jüri Järvet"
Taylor Hackford,"Damian Chapa, Jesse Borrego, Benjamin Bratt"
Alan J. Pakula,"Dustin Hoffman, Robert Redford, Jack Warden"
Darren Aronofsky,"Mickey Rourke, Marisa Tomei, Evan Rachel Wood"
Hirokazu Koreeda,"Lily Franky, Sakura Andô, Kirin Kiki"
John Carney,"Ferdia Walsh-Peelo, Aidan Gillen, Maria Doyle Kennedy"
Richard Linklater,"Ethan Hawke, Julie Delpy, Seamus Davey-Fitzpatrick"
Lars von Trier,"Björk, Catherine Deneuve, David Morse"
John Frankenheimer,"Frank Sinatra, Laurence Harvey, Janet Leigh"
"Merian C. Cooper, Ernest B. Schoedsack","Fay Wray, Robert Armstrong, Bruce Cabot"
Woody Allen,"Woody Allen, Diane Keaton, Tony Roberts"
Sam Peckinpah,"William Holden, Ernest Borgnine, Robert Ryan"
Norman Jewison,"Sidney Poitier, Rod Steiger, Warren Oates"
Fred Zinnemann,"Gary Cooper, Grace Kelly, Thomas Mitchell"
Howard Hawks,"Humphrey Bogart, Lauren Bacall, John Ridgely"
Yimou Zhang,"Jet Li, Tony Leung Chiu-wai, Maggie Cheung"
Luchino Visconti,"Burt Lancaster, Alain Delon, Claudia Cardinale"
John Huston,"Humphrey Bogart, Mary Astor, Gladys George"
Alfred Hitchcock,"James Stewart, John Dall, Farley Granger"
Alfred Hitchcock,"Farley Granger, Robert Walker, Ruth Roman"
Alfred Hitchcock,"Cary Grant, Ingrid Bergman, Claude Rains"
Andrei Tarkovsky,"Erland Josephson, Susan Fleetwood, Allan Edwall"
Hal Ashby,"Peter Sellers, Shirley MacLaine, Melvyn Douglas"
Andrei Tarkovsky,"Margarita Terekhova, Filipp Yankovskiy, Ignat Daniltsev"
Anthony Harvey,"Peter O'Toole, Katharine Hepburn, Anthony Hopkins"
William Wyler,"Gregory Peck, Jean Simmons, Carroll Baker"
Pedro Almodóvar,"Rosario Flores, Javier Cámara, Darío Grandinetti"
Gareth Evans,"Iko Uwais, Yayan Ruhian, Arifin Putra"
Orson Welles,"Charlton Heston, Orson Welles, Janet Leigh"
"Michael Curtiz, William Keighley","Errol Flynn, Olivia de Havilland, Basil Rathbone"
Hal Ashby,"Ruth Gordon, Bud Cort, Vivian Pickles"
Stanley Kubrick,"Sterling Hayden, Coleen Gray, Vince Edwards"
Bernardo Bertolucci,"Jean-Louis Trintignant, Stefania Sandrelli, Gastone Moschin"
Richard Brooks,"Robert Blake, Scott Wilson, John Forsythe"
Franklin J. Schaffner,"George C. Scott, Karl Malden, Stephen Young"
Jûzô Itami,"Ken Watanabe, Tsutomu Yamazaki, Nobuko Miyamoto"
Destin Daniel Cretton,"Brie Larson, Frantz Turner, John Gallagher Jr."
Jean-Pierre Melville,"Alain Delon, Bourvil, Gian Maria Volontè"
Kaneto Shindô,"Nobuko Otowa, Jitsuko Yoshimura, Kei Satô"
Kim Ki-duk,"Lee Seung-yun, Jae Hee, Hyuk-ho Kwon"
Michael Haneke,"Jean-Louis Trintignant, Emmanuelle Riva, Isabelle Huppert"
Robert Rossen,"Paul Newman, Jackie Gleason, Piper Laurie"
Andrei Tarkovsky,"Oleg Yankovskiy, Erland Josephson, Domiziana Giordano"
Frank Capra,"Cary Grant, Priscilla Lane, Raymond Massey"
Hun Jang,"Song Kang-ho, Thomas Kretschmann, Yoo Hae-jin"
D.A. Pennebaker,"Bob Dylan, Albert Grossman, Bob Neuwirth"
Richard Brooks,"Elizabeth Taylor, Paul Newman, Burl Ives"
"Otto Preminger, Rouben Mamoulian","Gene Tierney, Dana Andrews, Clifton Webb"
W.S. Van Dyke,"William Powell, Myrna Loy, Maureen O'Sullivan"
Morton DaCosta,"Rosalind Russell, Forrest Tucker, Coral Browne"
Paul Schrader,"Ken Ogata, Masayuki Shionoya, Hiroshi Mikami"
Nikkhil Advani,"Preity G Zinta, Shah Rukh Khan, Saif Ali Khan"
Amit Ravindernath Sharma,"Ajay Devgn, Sharik Khan Jr., Priyamani"
Lee Tamahori,"Rena Owen, Temuera Morrison, Mamaengaroa Kerr-Bell"
Henry Koster,"James Stewart, Wallace Ford, William H. Lynn"
John Cassavetes,"Gena Rowlands, John Cassavetes, Ben Gazzara"
Fritz Lang,"Glenn Ford, Gloria Grahame, Jocelyn Brando"
Ken Loach,"David Bradley, Brian Glover, Freddie Fletcher"
Jae-young Kwak,"Cha Tae-hyun, Jun Ji-hyun, In-mun Kim"
Karan Johar,"Shah Rukh Khan, Kajol, Sheetal Menon"
George Seaton,"Edmund Gwenn, Maureen O'Hara, John Payne"
Irving Rapper,"Bette Davis, Paul Henreid, Claude Rains"
Roy Ward Baker,"Kenneth More, Ronald Allen, Robert Ayres"
Akira Kurosawa,"Tatsuya Nakadai, Tsutomu Yamazaki, Ken'ichi Hagiwara"
Joseph L. Mankiewicz,"Laurence Olivier, Michael Caine, Alec Cawthorne"
Fatih Akin,"Birol Ünel, Sibel Kekilli, Güven Kiraç"
Nicholas Ray,"Humphrey Bogart, Gloria Grahame, Frank Lovejoy"
Ingmar Bergman,"Harriet Andersson, Liv Ullmann, Kari Sylwan"
Billy Wilder,"William Holden, Don Taylor, Otto Preminger"
Saeed Roustayi,"Saeed Poursamimi, Taraneh Alidoosti, Navid Mohammadzadeh"
Michael Curtiz,"Joan Crawford, Jack Carson, Zachary Scott"
Fabián Bielinsky,"Ricardo Darín, Gastón Pauls, Graciela Tenenbaum"
Michelangelo Antonioni,"Jeanne Moreau, Marcello Mastroianni, Monica Vitti"
Shunji Iwai,"Miho Nakayama, Etsushi Toyokawa, Bunjaku Han"
Cyrus Nowrasteh,"Shohreh Aghdashloo, Jim Caviezel, Mozhan Navabi"
Masaki Kobayashi,"Rentarô Mikuni, Michiyo Aratama, Misako Watanabe"
Cristian Mungiu,"Anamaria Marinca, Laura Vasiliu, Vlad Ivanov"
Billy Wilder,"Ray Milland, Jane Wyman, Phillip Terry"
Sergei Eisenstein,"Aleksandr Antonov, Vladimir Barskiy, Grigoriy Aleksandrov"
Bao Nguyen,"Lionel Richie, Harriet Sternberg, Wendy Rees"
Gregory La Cava,"William Powell, Carole Lombard, Alice Brady"
Banksy,"Banksy, Mr. Brainwash, Space Invader"
Imtiaz Ali,"Shahid Kapoor, Kareena Kapoor, Tarun Arora"
Anurag Kashyap,"Rahul Bhat, Ronit Roy, Tejaswini Kolhapure"
"Peter Mortimer, Nick Rosen","Marc-André Leclerc, Peter Mortimer, Alex Honnold"
Zoya Akhtar,"Ranveer Singh, Alia Bhatt, Siddhant Chaturvedi"
Andrey Zvyagintsev,"Vladimir Garin, Ivan Dobronravov, Konstantin Lavronenko"
Hirokazu Koreeda,"Hiroshi Abe, Yui Natsukawa, You"
Asghar Farhadi,"Taraneh Alidoosti, Golshifteh Farahani, Shahab Hosseini"
Louis Malle,"Jeanne Moreau, Maurice Ronet, Georges Poujouly"
Danis Tanovic,"Branko Djuric, Rene Bitorajac, Filip Sovagovic"
Bryan Fogel,"Bryan Fogel, Dave Zabriskie, Don Catlin"
Daniel Ribeiro,"Ghilherme Lobo, Fabio Audi, Tess Amorim"
Jean Renoir,"Marcel Dalio, Nora Gregor, Paulette Dubost"
Jonas Poher Rasmussen,"Daniel Karimyar, Fardin Mijdzadeh, Milad Eskandari"
Preston Sturges,"Joel McCrea, Veronica Lake, Robert Warwick"
Gérard Oury,"Bourvil, Louis de Funès, Claudio Brook"
