Index,Title,Year,Rating,Length (mins),Rating Amount,Group,Metascore,Short Description,Directors,Stars,Genres
63.0,Seven Samurai,1954.0,8.6,207.0,380000.0,PG,98.0,"Farmers from a village exploited by bandits hire a veteran samurai for protection, and he gathers six other samurai to join him.",Sergio Leone,"Clint Eastwood, Eli Wallach, Lee Van Cleef","Adventure, Drama, Western"
64.0,Harakiri,1962.0,8.6,133.0,77000.0,X,85.0,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity.",Peter Jackson,"Elijah Wood, Ian McKellen, Viggo Mortensen","Adventure, Drama, Fantasy"
65.0,The Legend of Maula Jatt,2022.0,8.6,153.0,11000.0,18,,"From times untold where legends are written in soil with blood, a hero is born. Maula Jatt, a fierce prizefighter with a tortured past seeks vengeance against his arch nemesis Noori Natt, the most feared warrior in the land of Punjab.",Vidhu Vinod Chopra,"Vikrant Massey, Medha Shankr, Anant Joshi","Biography, Drama"
66.0,A Dog's Will,2000.0,8.6,104.0,20000.0,,,"The lively João Grilo and the sly Chicó are poor guys living in the hinterland who cheat a bunch of people to survive, but their plans are halted when a bandit comes to town.","Nick Morris, Laurence Connor","Ramin Karimloo, Sierra Boggess, Hadley Fraser","Drama, Musical, Romance"
67.0,Demon Slayer: Kimetsu no Yaiba - Tsuzumi Mansion Arc,2021.0,8.6,87.0,30000.0,,,Tanjiro ventures to the south-southeast where he encounters a cowardly young man named Zenitsu Agatsuma. He is a fellow survivor from Final Selection and his sparrow asks Tanjiro to help keep him in line.,"Dusan Kovacevic, Bozidar 'Bota' Nikolic","Danilo 'Bata' Stojkovic, Bora Todorovic, Mira Banjac","Comedy, Drama"
68.0,Earthlings,2005.0,8.6,95.0,20000.0,,,"Using hidden cameras and never-before-seen footage, Earthlings chronicles the day-to-day practices of the largest industries in the world, all of which rely entirely on animals for profit.",Rojin Thomas,"Indrans, Sreenath Bhasi, Manju Pillai","Drama, Family"
69.0,"Pretty Village, Pretty Flame",1996.0,8.6,115.0,18000.0,18,,"During the war in Bosnia, two childhood friends eventually become enemies, as the tragic and devastating circumstances of the war put them on the opposite sides and expose the most gruesome and cruel aspects of the human nature.",Slobodan Sijan,"Bogdan Diklic, Danilo 'Bata' Stojkovic, Pavle Vuisic","Comedy, Drama"
70.0,Nayakan,1987.0,8.6,145.0,26000.0,15,,"A common man's struggles against a corrupt police force put him on the wrong side of the law. He becomes a don, who is loved and respected by many, but his growing power and influence exact a heavy toll.",Ertem Egilmez,"Kemal Sunal, Sener Sen, Halit Akçatepe","Comedy, History"
71.0,Anbe Sivam,2003.0,8.6,160.0,27000.0,12A,,"Two men, one young and arrogant, the other damaged - physically but not spiritually - by life, are thrown together by circumstances, and find that they are in some ways bound together by fate.",Ertem Egilmez,"Münir Özkul, Tarik Akan, Kemal Sunal",Comedy
72.0,Zügürt Aga,1985.0,8.6,101.0,17000.0,,,The landlord of a village in eastern Turkey decides to sell his land after a severe drought and migrates to Istanbul with his family. However the struggle for survival in the 'big city' will not be easier for them.,Christopher Nolan,"Matthew McConaughey, Anne Hathaway, Jessica Chastain","Adventure, Drama, Sci-Fi"
73.0,My Dear Brother,1973.0,8.6,86.0,11000.0,,,Two poor men try to find a television as a last wish for the terminally ill brother of one of them.,Martin Scorsese,"Robert De Niro, Ray Liotta, Joe Pesci","Biography, Crime, Drama"
74.0,The Chaos Class Is on Vacation,1977.0,8.6,97.0,19000.0,,,Hababam Sinifi (The Chaos Class) continue to their adventures. Now first female students of the school history joins to the class and all Hababam Sinifi fight each other for them at first but later they understand that female students are trouble as much as Hababam Sinifi and played with them so they decide to fight against that girls.,"Lana Wachowski, Lilly Wachowski","Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss","Action, Sci-Fi"
75.0,Daman,2022.0,8.6,121.0,14000.0,,,"The film is set in 2015. Sid, is a young doctor who completed his MBBS has been posted to the cut-off area of Malkangiri district Odisha having 151 villages & infamous for Naxals dominance & no basic facilities. It's a real life tale of perseverance & dedication.",Milos Forman,"Jack Nicholson, Louise Fletcher, Michael Berryman",Drama
76.0,Gladiator,2000.0,8.5,155.0,1700000.0,15,67.0,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,Irvin Kershner,"Mark Hamill, Harrison Ford, Carrie Fisher","Action, Adventure, Fantasy"
77.0,Dune: Part Two,2024.0,8.5,166.0,597000.0,12A,79.0,"Paul Atreides unites with the Fremen while on a warpath of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the universe, he endeavors to prevent a terrible future.",T.J. Gnanavel,"Suriya, Lijo Mol Jose, Manikandan K.","Crime, Drama"
78.0,Parasite,2019.0,8.5,132.0,1000000.0,15,97.0,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,Quentin Tarantino,"Uma Thurman, Lucy Liu, Vivica A. Fox","Action, Crime, Thriller"
79.0,The Departed,2006.0,8.5,151.0,1500000.0,18,85.0,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,Claude Lanzmann,"Simon Srebnik, Michael Podchlebnik, Motke Zaïdl","Documentary, History, War"
80.0,The Prestige,2006.0,8.5,130.0,1500000.0,12A,66.0,Rival 19th-century magicians engage in a bitter battle for trade secrets.,Jonathan Demme,"David Byrne, Bernie Worrell, Alex Weir","Documentary, Music"
81.0,Django Unchained,2012.0,8.5,165.0,1800000.0,18,81.0,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi.",Madhavan,"Madhavan, Simran, Rajit Kapoor","Biography, Drama"
82.0,Alien,1979.0,8.5,117.0,1000000.0,X,89.0,"After investigating a mysterious transmission of unknown origin, the crew of a commercial spacecraft encounters a deadly lifeform.",Kiranraj K,"Rakshit Shetty, Charlie, Sangeetha Sringeri","Adventure, Comedy, Drama"
83.0,Whiplash,2014.0,8.5,106.0,1100000.0,15,89.0,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,Sudha Kongara,"Suriya, Aparna Balamurali, Paresh Rawal",Drama
84.0,The Usual Suspects,1995.0,8.5,106.0,1200000.0,18,76.0,The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.,Slobodan Sijan,"Pavle Vuisic, Dragan Nikolic, Danilo 'Bata' Stojkovic","Adventure, Comedy, Drama"
85.0,Back to the Future,1985.0,8.5,116.0,1400000.0,PG,87.0,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.","Dragan Bjelogrlic, Zoran Lisinac","Milan Maric, Tamara Dragicevic, Petar Bencina","Biography, Drama, Music"
86.0,Leon,1994.0,8.5,110.0,1300000.0,18,64.0,"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.",Ertem Egilmez,"Kemal Sunal, Halit Akçatepe, Sener Sen","Comedy, History"
87.0,American History X,1998.0,8.5,119.0,1200000.0,18,62.0,"Living a life marked by violence, neo-Nazi Derek finally goes to prison after killing two black youths. Upon his release, Derek vows to change; he hopes to prevent his brother, Danny, who idolizes Derek, from following in his footsteps.",Haruo Sotozaki,,"Animation, Action, Fantasy"
88.0,The Pianist,2002.0,8.5,150.0,955000.0,15,85.0,"During WWII, acclaimed Polish musician Wladyslaw faces various struggles as he loses contact with his family. As the situation worsens, he hides in the ruins of Warsaw in order to survive.",Mari Selvaraj,"Kathir, Anandhi, Yogi Babu",Drama
89.0,The Lion King,1994.0,8.5,88.0,1200000.0,U,88.0,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",Fazil,"Mohanlal, Shobana, Suresh Gopi","Comedy, Horror, Mystery"
90.0,Spider-Man: Across the Spider-Verse,2023.0,8.5,140.0,436000.0,PG,86.0,"Traveling across the multiverse, Miles Morales meets a new team of Spider-People, made up of heroes from different dimensions. But when the heroes clash over how to deal with a new threat, Miles finds himself at a crossroads.",Ertem Egilmez,"Münir Özkul, Kemal Sunal, Halit Akçatepe",Comedy
91.0,Once Upon a Time in the West,1968.0,8.5,166.0,364000.0,12,82.0,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,Ram,"Mammootty, Sadhana, Anjali","Drama, Family"
92.0,Grave of the Fireflies,1988.0,8.5,88.0,339000.0,12A,94.0,A young boy and his little sister struggle to survive in Japan during World War II.,Directors,Stars,Genres
93.0,Casablanca,1942.0,8.5,102.0,626000.0,U,100.0,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,Frank Darabont,"Tim Robbins, Morgan Freeman, Bob Gunton",Drama
94.0,Psycho,1960.0,8.5,109.0,745000.0,15,97.0,A secretary on the run for embezzlement takes refuge at a secluded California motel owned by a repressed man and his overbearing mother.,Yûichirô Hayashi,"Natsuki Hanae, Yoshimasa Hosoya, Marina Inoue","Animation, Action, Drama"
95.0,Untouchable,2011.0,8.5,112.0,966000.0,15,57.0,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.",Francis Ford Coppola,"Marlon Brando, Al Pacino, James Caan","Crime, Drama"
96.0,Rear Window,1954.0,8.5,112.0,541000.0,PG,100.0,A bored photographer recovering from a broken leg passes the time by watching his neighbors and begins to suspect one of them of murder.,Ertem Egilmez,"Münir Özkul, Tarik Akan, Halit Akçatepe",Comedy
