Index,Title,Year,Rating,Length (minutes),Rating Amount,Group,Metascore,Short Description,Directors,Stars
3103,3103. Read My Lips,2001,7.3,115,17000,R,82.0,She is almost deaf and he lip-reads. He is an ex-convict. She wants to help him. He thinks no one can help except himself.,Jacques Audiard,"Vincent Cassel, Emmanuelle Devos, Olivier Gourmet"
3104,3104. Monsoon Wedding,2001,7.3,114,27000,R,77.0,"A stressed father, a bride-to-be with a secret, a smitten event planner, and relatives from around the world create much ado about the preparations for an arranged marriage in India.",Mira Nair,"Naseeruddin Shah, Lillete Dubey, Shefali Shah"
3105,3105. Roma,1972,7.3,120,14000,R,,"A fluid, unconnected and sometimes chaotic procession of scenes detailing the various people and events of life in Italy's capital, most of it based on director Federico Fellini's life.",Federico Fellini,"Britta Barnes, Peter Gonzales Falcon, Fiona Florence"
3106,3106. City Island,2009,7.3,104,33000,PG-13,66.0,"Prison guard Vince tells Molly from acting class, that one inmate is his 24 y.o. love child. Vince takes him home to stay with his family - straight A son with fat girl fetish, college dropout/stripper daughter and cute wife.",Raymond De Felitta,"Andy Garcia, Julianna Margulies, Steven Strait"
3107,3107. Phoenix,2014,7.3,98,21000,PG-13,89.0,"After surviving Auschwitz, a former cabaret singer has her disfigured face reconstructed and returns to her war-ravaged hometown to seek out her gentile husband, who may or may not have betrayed her to the Nazis.",Christian Petzold,"Nina Hoss, Ronald Zehrfeld, Nina Kunzendorf"
3108,3108. Monsieur Hulot's Holiday,1953,7.3,83,21000,Not Rated,90.0,"Monsieur Hulot comes to a beachside hotel for a vacation and accidentally, but good-naturedly, causes havoc.",Jacques Tati,"Jacques Tati, Nathalie Pascaud, Micheline Rolla"
3109,3109. In China They Eat Dogs,1999,7.3,91,24000,Not Rated,,"Two brothers, one cold and ruthless, the other sensitive and reluctant, and their brutal misadventures.",Lasse Spang Olsen,"Kim Bodnia, Dejan Cukic, Nikolaj Lie Kaas"
3110,3110. The Bélier Family,2014,7.3,106,30000,,,"A girl, who lives with her deaf parents, discovers that she has the gift of singing.",Éric Lartigau,"Karin Viard, François Damiens, Eric Elmosnino"
3111,3111. Loft,2008,7.3,118,25000,,,"Five close friends, all of them married, share a loft to meet their mistresses. One day they find the body of a young woman in the loft. Since there are only five keys to the loft, the five men begin to suspect each other of murder.",Erik Van Looy,"Koen De Bouw, Filip Peeters, Matthias Schoenaerts"
3112,"3112. Sorry, Wrong Number",1948,7.3,89,13000,Approved,,"When neurotic bedridden wife Leona Stevenson overhears a murder plot on her telephone, she tries to piece the puzzle together and prevent the murder. Based on Lucille Fletcher's famous radio play.",Anatole Litvak,"Barbara Stanwyck, Burt Lancaster, Ann Richards"
3113,3113. Manhattan Murder Mystery,1993,7.3,104,48000,PG,71.0,Middle-aged New York married couple Larry and Carol Lipton suspect foul play when their neighbor Paul House's wife Lillian suddenly drops dead.,Woody Allen,"Woody Allen, Diane Keaton, Jerry Adler"
3114,3114. Bullhead,2011,7.3,129,25000,R,68.0,"Sint-Truiden, Belgium. Jacky, a young cattle farmer who is constantly pumped on steroids and hormones, is approached by a veterinarian to make a deal with a notorious beef trader.",Michaël R. Roskam,"Matthias Schoenaerts, Jeroen Perceval, Jeanne Dandoy"
3115,3115. Shogun Assassin,1980,7.3,85,12000,R,,"When the wife of the Shogun's Decapitator is murdered and he is ordered to commit suicide by the paranoid Shogun, he and his four-year-old son escape and become assassins for hire, embarking on a journey of blood and violent death.","Robert Houston, Kenji Misumi","Tomisaburô Wakayama, Kayo Matsuo, Minoru Ôki"
3116,3116. The Scent of Green Papaya,1993,7.3,104,10000,Not Rated,81.0,"A Vietnamese servant girl, Mui, observes lives within two different Saigon families: the first, a woman textile seller with three boys and a frequently absent husband; the second, a handsome young pianist with his fiancée.",Anh Hung Tran,"Nu Yên-Khê Tran, Man San Lu, Thi Loc Truong"
3117,3117. Interiors,1978,7.3,92,21000,PG,67.0,"Three sisters find their lives spinning out of control in the wake of their parents' sudden, unexpected divorce.",Woody Allen,"Diane Keaton, Geraldine Page, Kristin Griffith"
3118,3118. The Lodger: A Story of the London Fog,1927,7.3,92,14000,Not Rated,,A landlady suspects that her new lodger is the madman killing women in London.,Alfred Hitchcock,"June Tripp, Ivor Novello, Marie Ault"
3119,3119. The Snow Walker,2003,7.3,103,12000,PG,,A pilot and his passenger struggle for survival after crashing in the Arctic tundra.,Charles Martin Smith,"Barry Pepper, Annabella Piugattuk, James Cromwell"
3120,3120. Little Boy,2015,7.3,106,25000,PG-13,30.0,An eight-year-old boy is willing to do whatever it takes to end World War II so he can bring his father home. The story reveals the indescribable love a father has for his little boy and the love a son has for his father.,Alejandro Monteverde,"Jakob Salvati, Emily Watson, David Henrie"
3121,3121. The Collini Case,2019,7.3,123,14000,Not Rated,,A young lawyer stumbles upon a vast conspiracy while investigating a brutal murder case.,Marco Kreuzpaintner,"Elyas M'Barek, Alexandra Maria Lara, Heiner Lauterbach"
3122,3122. United,2011,7.3,94,13000,PG-13,,"Based on the true story of Manchester United's legendary ""Busby Babes"", the youngest side ever to win the Football League, and the 1958 Munich Air Crash that claimed eight of their number.",James Strong,"Dean Andrews, Kate Ashfield, Natalie Burt"
3123,3123. Café de Flore,2011,7.3,120,17000,Not Rated,53.0,A love story between a man and woman. And between a mother and her son. A mystical and fantastical odyssey on love.,Jean-Marc Vallée,"Vanessa Paradis, Kevin Parent, Hélène Florent"
3124,3124. Reprise,2006,7.3,105,16000,R,79.0,"Fueled by literary aspirations and youthful exuberance, two competitive friends endure the pangs of love, depression, and burgeoning careers.",Joachim Trier,"Anders Danielsen Lie, Espen Klouman Høiner, Viktoria Winge"
3125,3125. 42nd Street,1933,7.3,89,13000,Approved,83.0,"When the leading lady of a Broadway musical breaks her ankle, she is replaced by a young unknown actress, who becomes the star of the show.",Lloyd Bacon,"Warner Baxter, Bebe Daniels, George Brent"
3126,3126. Lust for Life,1956,7.3,122,13000,Approved,68.0,The life of brilliant but tortured artist Vincent van Gogh.,"Vincente Minnelli, George Cukor","Kirk Douglas, Anthony Quinn, James Donald"
3127,3127. Heaven Can Wait,1943,7.3,112,13000,Approved,,"An old roué arrives in Hades to review his life with Satan, who will rule on his eligibility to enter the Underworld.",Ernst Lubitsch,"Gene Tierney, Don Ameche, Charles Coburn"
3128,3128. Bunny Lake Is Missing,1965,7.3,107,11000,Not Rated,77.0,"A woman reports that her young daughter is missing, but there seems to be no evidence that she ever existed.",Otto Preminger,"Keir Dullea, Carol Lynley, Laurence Olivier"
3129,3129. Twice Born,2012,7.3,127,18000,R,34.0,"A mother brings her teenage son to Sarajevo, where his father died in the Bosnian conflict years ago.",Sergio Castellitto,"Penélope Cruz, Emile Hirsch, Adnan Haskovic"
3130,3130. Mrs. Chatterjee vs. Norway,2023,7.3,144,11000,TV-MA,,An immigrant Indian mother's battle against the Norwegian foster care system and local legal machinery to win back the custody of her children.,Ashima Chibber,"Rani Mukerji, Jim Sarbh, Bodhisattva Mazumdar"
3131,3131. Talaash: The Answer Lies Within,2012,7.3,140,46000,Not Rated,65.0,"Inspector Surjan Shekhawat, who is dealing with a depressing past, has to investigate a high profile murder case, deal with his crumbling marriage and use the help and solace of a prostitute by the name of Rosie.","Reema Kagti, Priyamvada Narayanan","Aamir Khan, Kareena Kapoor, Rani Mukerji"
3132,3132. Freddy,2022,7.3,124,35000,,,The lines between love and obsession blur in this romantic thriller packed with unpredictable twists and sharp turns.,Shashanka Ghosh,"Kartik Aaryan, Alaya F, Karan Pandit"
3133,3133. Bread and Tulips,2000,7.3,114,11000,PG-13,68.0,"After being forgotten in a highway café during a bus trip, a housewife decides to start a new life by herself in Venice.",Silvio Soldini,"Licia Maglietta, Bruno Ganz, Giuseppe Battiston"
3134,3134. The Glenn Miller Story,1954,7.3,115,10000,Approved,,Biography of bandleader Glenn Miller from his beginnings to his death over the English Channel in December 1944.,Anthony Mann,"James Stewart, June Allyson, Harry Morgan"
3135,3135. What's in a Name?,2012,7.3,109,19000,PG,66.0,Vincent is about to become a father. At a meeting with childhood friends he announces the name for his future son. The scandalous name ignites a discussion which surfaces unpleasant matters from the past of the group.,"Alexandre de La Patellière, Matthieu Delaporte","Patrick Bruel, Valérie Benguigui, Charles Berling"
3136,"3136. Watch Out, We're Mad",1974,7.3,102,15000,G,,"After a tied first place in a local stunt race, two drivers start a contest to decide which of them will own the prize, a dune buggy. But when a mobster destroys the car, they are determined to get it back.",Marcello Fondato,"Terence Hill, Bud Spencer, John Sharp"
3137,3137. Snake in the Eagle's Shadow,1978,7.3,90,13000,PG,,"An orphan who has been raised at a kung fu school, where he is treated as little more than a dogsbody and practice target for the students, has a life-changing experience after helping an old peripatetic beggar.",Yuen Woo-Ping,"Jackie Chan, Siu-Tin Yuen, Jeong-lee Hwang"
3138,3138. Into the Abyss,2011,7.3,107,18000,PG-13,74.0,Conversations with death row inmate Michael Perry and those affected by his crime serve as an examination of why people - and the state - kill.,Werner Herzog,"Werner Herzog, Richard Lopez, Michael Perry"
3139,3139. Mommy Dead and Dearest,2017,7.3,82,13000,TV-MA,,"This documentary explores the murder of DeeDee Blanchard by her daughter Gypsy Rose, as well as the circumstances leading up to the event.",Erin Lee Carr,"Jim Arnott, David Blanchard, Dee Dee Blanchard"
3140,3140. Pauline at the Beach,1983,7.3,95,11000,R,,Marion is about to divorce from her husband and takes her 15-year-old niece Pauline on a vacation to Granville. She meets an old love...,Éric Rohmer,"Amanda Langlet, Arielle Dombasle, Pascal Greggory"
3141,3141. Psycho Raman,2016,7.3,133,16000,Not Rated,,"Ramanna, a maniac murderer, finds a soulmate in Raghavan, a policeman, who inspects his murder cases. He tries to make Raghavan realize how they both are similar.",Anurag Kashyap,"Nawazuddin Siddiqui, Vicky Kaushal, Sobhita Dhulipala"
3142,3142. The Naked Spur,1953,7.3,91,13000,Approved,,A bounty hunter trying to bring a murderer to justice is forced to accept the help of two less-than-trustworthy strangers.,Anthony Mann,"James Stewart, Janet Leigh, Robert Ryan"
3143,3143. Shock Corridor,1963,7.3,101,13000,Approved,,"Bent on winning a Pulitzer Prize, a journalist commits himself to a mental institution to solve a strange and unclear murder.",Samuel Fuller,"Peter Breck, Constance Towers, Gene Evans"
