Index,Title,Year,Rating,Length (minutes),Rating Amount,Group,Metascore,Short Description,Directors,Stars
3194,3194. Dear Comrade,2019,7.3,169,11000,Not Rated,,A hot-blooded student union leader falls for a state-level cricketer but his anger management issues and violent streak threatens to derail their love story.,Bharat Kamma,"Vijay Deverakonda, Rashmika Mandanna, Raj Arjun"
3195,3195. Ben X,2007,7.3,93,20000,Not Rated,,"As an alternative to getting bullied at school, an autistic teenager retreats into the world of online role-playing games.",Nic Balthazar,"Marijke Pinoy, Greg Timmermans, Cesar De Sutter"
3196,3196. In Darkness,2011,7.3,145,11000,R,74.0,A dramatization of one man's rescue of Jewish refugees in the German-occupied Polish city of Lvov.,Agnieszka Holland,"Robert Wieckiewicz, Benno Fürmann, Agnieszka Grochowska"
3197,3197. Bala,2019,7.3,133,17000,TV-PG,,It tells the story of a man who is balding prematurely and how he copes up with the situation.,Amar Kaushik,"Ayushmann Khurrana, Bhumi Pednekar, Yami Gautam"
3198,3198. Race Gurram,2014,7.3,163,13000,Not Rated,,"Two brothers have two different approaches to life. While one brother follows rules and regulations, the other does things his own way.",Surender Reddy,"Allu Arjun, Shruti Haasan, Shaam"
3199,3199. Aravindha Sametha,2018,7.3,162,10000,,,A young scion of a powerful family with a long history of violence decides to put an end to the bloodshed which leads him to a path of self discovery.,Trivikram Srinivas,"N.T. Rama Rao Jr., Pooja Hegde, Jagapathi Babu"
3200,3200. Gadar: Ek Prem Katha,2001,7.3,170,16000,,,"During the Partition of India in 1947, a Sikh truck driver falls in love with a Muslim girl belonging to an aristocratic family.",Anil Sharma,"Sunny Deol, Ameesha Patel, Amrish Puri"
3201,3201. Ishqiya,2010,7.3,118,11000,Not Rated,,"While on the run from goons, a man and his nephew fall for a kidnapper's seductive widow.",Abhishek Chaubey,"Vidya Balan, Naseeruddin Shah, Arshad Warsi"
3202,3202. Dasavatharam,2008,7.3,188,11000,Not Rated,,"After realizing the danger of a bio-weapon, a scientist wants to protect it from being misused. The vial accidentally reaches India, and he must race against time to prevent a potential disaster.",K.S. Ravikumar,"Kamal Haasan, Asin Thottumkal, Jaya Prada"
3203,3203. The Edge of Democracy,2019,7.3,121,16000,TV-14,81.0,Political documentary and personal memoir collide in this exploration into the complex truth behind the unraveling of two Brazilian presidencies.,Petra Costa,"Dilma Rousseff, Luiz Inácio Lula da Silva, Marisa Letícia Lula da Silva"
